,delay_cause,delay
0," A vonat első kocsija lezárva közlekedik, utazásra nem vehető igénybe.",6.5
1," A vonat első kocsija lezárva közlekedik, utazásra nem vehető igénybe.;Pálya állapota miatti késés",6.0
2,.,38.0
3,.;Vonat műszaki hibája miatti késés,56.46875
4,1. osztályú kocsi nélkül közlekedik.,61.76744186046511
5,1. osztályú kocsi nélkül közlekedik.;Hatósági intézkedés miatti késés,10.0
6,1. osztályú kocsi nélkül közlekedik.;Más vonat által okozott késés,27.721311475409838
7,1. osztályú kocsi nélkül közlekedik.;Pálya állapota miatti késés,10.228571428571428
8,1. osztályú kocsi nélkül közlekedik.;Tartózkodási idő túllépése,8.25
9,1. osztályú kocsi nélkül közlekedik.;Társvasúttól átvett késés,50.92857142857143
10,1. osztályú kocsi nélkül közlekedik.;Vonat műszaki hibája miatti késés,7.583333333333333
11,18-as számú kocsi nélkül közlekedik.;Pálya állapota miatti késés,10.28125
12,18-as számú kocsi nélkül közlekedik.;Vonat műszaki hibája miatti késés,7.894736842105263
13,22-es számú kocsi nélkül közlekedik.;Pálya állapota miatti késés,7.696969696969697
14,23-as számú kocsi nélkül közlekedik.;Pálya állapota miatti késés,6.4
15,414-es számú kocsi nélkül közlekedik.,13.833333333333332
16,423-as számú kocsi nélkül közlekedik.;Biztosítóberendezési hiba miatti késés,6.666666666666667
17,423-as számú kocsi nélkül közlekedik.;Vonat műszaki hibája miatti késés,6.0
18,"A  vonat kerekesszékes utazásra alkalmas kocsi  nélkül közlekedik A vonat railjet kocsikat nem továbbít.

;Társvasúttól átvett késés",8.0
19,A 20-as számú kocsi a vonat elején található.;Pálya állapota miatti késés,9.470588235294118
20,A 431-es és 432-es számú kocsik csak Nyíregyháza állomástól közlekednek. ;Társvasúttól átvett késés,12.902255639097744
21,A 8047 sz. Dombóvárról érkező vonat késése miatt nem vár a csatlakozására.,6.5
22,A 8047 sz. Dombóvárról érkező vonat késése miatt nem vár a csatlakozására.;Biztosítóberendezési hiba miatti késés,6.0
23,A Dunakeszi állomástól minden állomáson és megállóhelyen megáll.,72.0
24,A Zürich felől érkező kocsirész nélkül közlekedik.;Tartózkodási idő túllépése,8.0
25,A jelenlegi késést figyelembe véve a szerelvény csak Budapest-Keleti pályaudvarig közlekedik. Budapest-Keleti pályaudvarról 05:40-kor másik szerelvény indul tovább. A tovább utazók az RJX162 vonattal tudnak tovább utazni.;Társvasúttól átvett késés,86.32394366197182
26,"A kocsik számozása Záhony és Debrecen között a vonat elejétől kezdődően: 
mozdony, 22,21,20,19,18,17
Debrecen és Bp. Nyugati között:
mozdony, 22,21,20,19,18,17, 33, 32,
A 20 számú kocsi kerékpár valamint kerekesszék szállításra nem alkalmas.;Pálya állapota miatti késés",8.0
27,"A kocsik számozása a vonat elejétől 432,431,413,415,414,412,410.;Pálya állapota miatti késés",18.96
28,"A kocsik számozása a vonat elejétől 432,431,413,415,414,412,410.;Társvasúttól átvett késés",9.727272727272727
29,"A kocsik számozása a vonat elejétől: 17,18,20,21,24,22,23;Pálya állapota miatti késés",10.345454545454546
30,"A kocsik számozása a vonat elejétől:23,22,24,21,20,18,17;Pálya állapota miatti késés",7.739130434782608
31,"A mai napon +6 perc késéssel, a 2024 sz. vonat menetrendje szerint közlekedik Bp.Nyugati - Rákosrendező között. ;Csatlakozásra várás miatti késés",7.35
32,A mai napon 10:28-kor indul Budapest-Nyugati pályaudvarról.;Csatlakozásra várás miatti késés,8.506849315068493
33,A mai napon 10:28-kor indul Budapest-Nyugati pályaudvarról.;Pálya állapota miatti késés,20.469026548672566
34,A mai napon 8:08-kor indul Budapest-Nyugati pályaudvarról.,15.0
