epoch,mean_delay,max_delay
18628,1.8081790208816528,482
18629,0.8766441345214844,345
18630,1.1790101528167725,346
18631,1.3267309665679932,388
18632,1.5670912265777588,115
18633,1.5179576873779297,344
18634,1.3791700601577759,167
18635,1.7341679334640503,191
18636,1.1785427331924438,345
18637,1.2831789255142212,405
18638,1.9000409841537476,221
18639,1.642431378364563,324
18640,1.6622309684753418,166
18641,1.843738079071045,98
18642,2.0348477363586426,81
18643,1.8459460735321045,345
18644,1.5514681339263916,340
18645,2.4375252723693848,138
18646,1.8315318822860718,299
18647,1.960291862487793,199
18648,1.7743780612945557,177
18649,1.7508553266525269,318
18650,1.124962568283081,345
18651,1.1932705640792847,345
18652,2.4649930000305176,385
18653,1.663642168045044,351
18654,1.7598462104797363,99
18655,1.8122572898864746,238
18656,2.4308347702026367,337
18657,1.052608609199524,344
18658,1.7291324138641357,345
18659,2.2016799449920654,272
18660,1.8055588006973267,133
18661,1.9335097074508667,95
18662,1.6642297506332397,161
18663,1.8188230991363525,335
18664,1.5580284595489502,405
18665,1.4892244338989258,360
18666,1.990853190422058,398
18667,2.132672071456909,321
18668,2.1192538738250732,350
18669,4.893868923187256,217
18670,4.390426158905029,291
18671,3.3009324073791504,344
18672,1.5999358892440796,345
18673,2.8398842811584473,271
18674,2.364924430847168,458
18675,1.8665639162063599,395
18676,1.9448667764663696,494
18677,2.124316692352295,330
18678,1.4283616542816162,345
18679,1.5449895858764648,345
18680,1.745316982269287,394
18681,1.9118021726608276,394
18682,2.183058500289917,131
18683,2.2176907062530518,258
18684,1.9733248949050903,332
18685,1.3001866340637207,345
18686,1.628523349761963,346
18687,1.8887605667114258,328
18689,1.8542431592941284,126
18690,1.9895720481872559,121
18691,2.695873737335205,253
18692,1.3184257745742798,345
18693,1.3924955129623413,346
18694,1.7720191478729248,494
18696,1.7492619752883911,304
18698,2.0327041149139404,344
18699,0.915562629699707,341
18700,1.189130187034607,379
18701,1.233811616897583,332
18702,1.2936856746673584,181
18703,1.9219168424606323,401
18704,1.300275444984436,208
18705,1.6545588970184326,84
18707,1.7743176221847534,282
18708,1.458943486213684,139
18709,1.7160675525665283,130
