,relation,most_frequent_delay_cause
0,Abaújszántó - Hidasnémeti,Csatlakozásra várás miatti késés
1,Abaújszántó - Szerencs,Biztosítóberendezési hiba miatti késés
2,Ajka - Szombathely,Társvasúttól átvett késés
3,Arad - Budapest-Keleti,Biztosítóberendezési hiba miatti késés
4,Arad - Szolnok,Biztosítóberendezési hiba miatti késés
5,Aszód - Balassagyarmat,Biztosítóberendezési hiba miatti késés
6,Baia Mare - Püspökladány,Más vonat által okozott késés
7,Baja - Dombóvár,Baleset miatti késés
8,Baja - Kecskemét,Biztosítóberendezési hiba miatti késés
9,Baja - Kiskunfélegyháza,Biztosítóberendezési hiba miatti késés
10,Baja - Szekszárd,Vonat műszaki hibája miatti késés
11,Baja - Székesfehérvár,Biztosítóberendezési hiba miatti késés
12,Baja - Sárbogárd,Más vonat által okozott késés
13,Bakonyszentlászló - Győr,Csatlakozásra várás miatti késés
14,Balassagyarmat - Hatvan,Időjárási ok miatti késés
15,Balassagyarmat - Ipolytarnóc,Csatlakozásra várás miatti késés
16,Balassagyarmat - Vác,Csatlakozásra várás miatti késés
17,Balatonfüred - Budapest-Kelenföld,Biztosítóberendezési hiba miatti késés
18,Balatonfüred - Székesfehérvár,Biztosítóberendezési hiba miatti késés
19,Balatonfüred - Tapolca,Vonat műszaki hibája miatti késés
20,Balatonszentgyörgy - Győr,Biztosítóberendezési hiba miatti késés
21,Balatonszentgyörgy - Nagykanizsa,Pálya állapota miatti késés
22,Balatonszentgyörgy - Tapolca,Baleset miatti késés
23,Balmazújváros - Tiszafüred,Időjárási ok miatti késés
24,Barcs - Nagykanizsa,Csatlakozásra várás miatti késés
25,Barcs - Pécs,Baleset miatti késés
26,Barcs - Szentlőrinc,Pálya állapota miatti késés
27,Batthyány tér - Szentendre,Műszaki ok miatti késés vonatnál
28,Beli Manastir - Pécs,Más vonat által okozott késés
29,Bicske - Budapest-Kelenföld,Más vonat által okozott késés
30,Biharkeresztes - Püspökladány,Baleset miatti késés
31,Braşov - Budapest-Keleti,Biztosítóberendezési hiba miatti késés
32,Breclav - Budapest-Nyugati,Biztosítóberendezési hiba miatti késés
33,Brno hl. n. - Budapest-Nyugati,Társvasúttól átvett késés
34,Bruck/Leitha - Győr,Biztosítóberendezési hiba miatti késés
35,Bucureşti Nord - Budapest-Keleti,Biztosítóberendezési hiba miatti késés
36,Bucureşti Nord - Wien Hbf,Társvasúttól átvett késés
37,Budapest-Déli - Celldömölk,Biztosítóberendezési hiba miatti késés
38,Budapest-Déli - Dombóvár,Baleset miatti késés
39,Budapest-Déli - Dunaújváros,Baleset miatti késés
40,Budapest-Déli - Győr,Baleset miatti késés
41,Budapest-Déli - Keszthely,Baleset miatti késés
42,Budapest-Déli - Komárom,Más vonat által okozott késés
43,Budapest-Déli - Ljubljana,Biztosítóberendezési hiba miatti késés
44,Budapest-Déli - Martonvásár,Más vonat által okozott késés
45,Budapest-Déli - Nagykanizsa,Biztosítóberendezési hiba miatti késés
46,Budapest-Déli - Oroszlány,Baleset miatti késés
47,Budapest-Déli - Pincehely,Biztosítóberendezési hiba miatti késés
48,Budapest-Déli - Pusztaszabolcs,Baleset miatti késés
49,Budapest-Déli - Siófok,Biztosítóberendezési hiba miatti késés
50,Budapest-Déli - Sopron,Baleset miatti késés
51,Budapest-Déli - Szombathely,Baleset miatti késés
52,Budapest-Déli - Százhalombatta,Csatlakozásra várás miatti késés
53,Budapest-Déli - Székesfehérvár,Baleset miatti késés
54,Budapest-Déli - Sárbogárd,Vonat műszaki hibája miatti késés
55,Budapest-Déli - Tapolca,Biztosítóberendezési hiba miatti késés
56,Budapest-Déli - Tatabánya,Biztosítóberendezési hiba miatti késés
57,Budapest-Déli - Tárnok,Baleset miatti késés
58,Budapest-Déli - Veszprém,Biztosítóberendezési hiba miatti késés
59,Budapest-Déli - Zagreb Glavni Kol.,Biztosítóberendezési hiba miatti késés
60,Budapest-Déli - Zalaegerszeg,Baleset miatti késés
61,Budapest-Keleti - Budapest-Nyugati,Baleset miatti késés
62,Budapest-Keleti - Békéscsaba,Biztosítóberendezési hiba miatti késés
63,Budapest-Keleti - Debrecen,Biztosítóberendezési hiba miatti késés
64,Budapest-Keleti - Eger,Baleset miatti késés
65,Budapest-Keleti - Frankfurt(Main)Hbf,Pálya állapota miatti késés
66,Budapest-Keleti - Füzesabony,Biztosítóberendezési hiba miatti késés
67,Budapest-Keleti - Graz Hbf,Baleset miatti késés
68,Budapest-Keleti - Gyékényes,Biztosítóberendezési hiba miatti késés
69,Budapest-Keleti - Győr,Biztosítóberendezési hiba miatti késés
70,Budapest-Keleti - Gödöllő,Baleset miatti késés
71,Budapest-Keleti - Hatvan,Biztosítóberendezési hiba miatti késés
72,Budapest-Keleti - Hegyeshalom,Baleset miatti késés
73,Budapest-Keleti - Innsbruck Hbf.,Társvasúttól átvett késés
74,Budapest-Keleti - Kaposvár,Biztosítóberendezési hiba miatti késés
75,Budapest-Keleti - Kazincbarcika,Pálya állapota miatti késés
76,Budapest-Keleti - Kosice,Baleset miatti késés
77,Budapest-Keleti - Ljubljana,Vonat műszaki hibája miatti késés
78,Budapest-Keleti - Lőkösháza,Biztosítóberendezési hiba miatti késés
79,Budapest-Keleti - Miskolc-Tiszai,Biztosítóberendezési hiba miatti késés
80,Budapest-Keleti - München Hbf,Pálya állapota miatti késés
81,Budapest-Keleti - Nagykáta,Csatlakozásra várás miatti késés
82,Budapest-Keleti - Nyíregyháza,Biztosítóberendezési hiba miatti késés
83,Budapest-Keleti - Prešov,Pálya állapota miatti késés
84,Budapest-Keleti - Pécs,Biztosítóberendezési hiba miatti késés
85,Budapest-Keleti - Sopron,Baleset miatti késés
86,Budapest-Keleti - Szentgotthárd,Baleset miatti késés
87,Budapest-Keleti - Szolnok,Biztosítóberendezési hiba miatti késés
88,Budapest-Keleti - Szombathely,Baleset miatti késés
89,Budapest-Keleti - Sülysáp,Biztosítóberendezési hiba miatti késés
90,Budapest-Keleti - Timişoara Nord,Biztosítóberendezési hiba miatti késés
91,Budapest-Keleti - Wien Hbf,Baleset miatti késés
92,Budapest-Keleti - Zürich HB,Vonat műszaki hibája miatti késés
93,Budapest-Nyugati - Cegléd,Baleset miatti késés
94,Budapest-Nyugati - Dabas,Pálya állapota miatti késés
95,Budapest-Nyugati - Debrecen,Baleset miatti késés
96,Budapest-Nyugati - Esztergom,Biztosítóberendezési hiba miatti késés
97,Budapest-Nyugati - Hamburg-Altona,Felsővezetéki hiba miatti késés
98,Budapest-Nyugati - Kecskemét,Baleset miatti késés
99,Budapest-Nyugati - Lajosmizse,Baleset miatti késés
100,Budapest-Nyugati - Miskolc-Tiszai,Baleset miatti késés
101,Budapest-Nyugati - Monor,Baleset miatti késés
102,Budapest-Nyugati - Mukachevo,Biztosítóberendezési hiba miatti késés
103,Budapest-Nyugati - Nyíregyháza,Baleset miatti késés
104,Budapest-Nyugati - Piliscsaba,Más vonat által okozott késés
105,Budapest-Nyugati - Praha hl. n.,Társvasúttól átvett késés
106,Budapest-Nyugati - Szeged,Baleset miatti késés
107,Budapest-Nyugati - Szentes,Pálya állapota miatti késés
108,Budapest-Nyugati - Szob,Biztosítóberendezési hiba miatti késés
109,Budapest-Nyugati - Szolnok,Baleset miatti késés
110,Budapest-Nyugati - Terespol,Felsővezetéki hiba miatti késés
111,Budapest-Nyugati - Táborfalva,Biztosítóberendezési hiba miatti késés
112,Budapest-Nyugati - Vác,Baleset miatti késés
113,Budapest-Nyugati - Vácrátót,Más vonat által okozott késés
114,Budapest-Nyugati - Zajta,Más vonat által okozott késés
115,Budapest-Nyugati - Záhony,Baleset miatti késés
116,Bátaszék - Dombóvár,Időjárási ok miatti késés
117,Bátaszék - Székesfehérvár,Biztosítóberendezési hiba miatti késés
118,Bátaszék - Sárbogárd,Pálya állapota miatti késés
119,Békéscsaba - Kötegyán,Biztosítóberendezési hiba miatti késés
120,Békéscsaba - Lőkösháza,Biztosítóberendezési hiba miatti késés
121,Békéscsaba - Mezőhegyes,Pályaépítés miatti késés
122,Békéscsaba - Mezőtúr,Baleset miatti késés
123,Békéscsaba - Orosháza,Biztosítóberendezési hiba miatti késés
124,Békéscsaba - Salonta,Pálya állapota miatti késés
125,Békéscsaba - Szeged,Baleset miatti késés
126,Békéscsaba - Szolnok,Baleset miatti késés
127,Békéscsaba - Vésztő,Biztosítóberendezési hiba miatti késés
128,Cece - Dunaújváros,Vonat műszaki hibája miatti késés
129,Cegléd - Kecskemét,Biztosítóberendezési hiba miatti késés
130,Cegléd - Nyíregyháza,Biztosítóberendezési hiba miatti késés
131,Cegléd - Szolnok,Biztosítóberendezési hiba miatti késés
132,Cegléd - Záhony,Baleset miatti késés
133,Celldömölk - Győr,Baleset miatti késés
134,Celldömölk - Kaposvár,Más vonat által okozott késés
135,Celldömölk - Keszthely,Vonat műszaki hibája miatti késés
136,Celldömölk - Pápa,Csatlakozásra várás miatti késés
137,Celldömölk - Szombathely,Biztosítóberendezési hiba miatti késés
138,Celldömölk - Tapolca,Vonat műszaki hibája miatti késés
139,Celldömölk - Veszprém,Pálya állapota miatti késés
140,Celldömölk - Zalaegerszeg,Baleset miatti késés
141,Cluj Napoca - Wien Hbf,Biztosítóberendezési hiba miatti késés
142,Csengele - Kiskunfélegyháza,Csatlakozásra várás miatti késés
143,Csenger - Debrecen,Pálya állapota miatti késés
144,Csenger - Mátészalka,Csatlakozásra várás miatti késés
145,Csorna - Pápa,Pálya állapota miatti késés
146,Csorna - Szany-Rábaszentandrás,Pálya állapota miatti késés
147,Csömör - Örs vezér tere,Forgalmi ok miatti késés
148,Debrecen - Fehérgyarmat,Baleset miatti késés
149,Debrecen - Füzesabony,Biztosítóberendezési hiba miatti késés
150,Debrecen - Hajdúnánás,Csatlakozásra várás miatti késés
151,Debrecen - Kisújszállás,Biztosítóberendezési hiba miatti késés
152,Debrecen - Mátészalka,Baleset miatti késés
153,Debrecen - Nagykereki,Vonat műszaki hibája miatti késés
154,Debrecen - Nyíregyháza,Pálya állapota miatti késés
155,Debrecen - Nyírgelse,Pálya állapota miatti késés
156,Debrecen - Nyírábrány,Más vonat által okozott késés
157,Debrecen - Oradea,Vonat műszaki hibája miatti késés
158,Debrecen - Püspökladány,Vonat műszaki hibája miatti késés
159,Debrecen - Satu Mare,Csatlakozásra várás miatti késés
160,Debrecen - Tiborszállás,Baleset miatti késés
161,Debrecen - Tiszafüred,Pálya állapota miatti késés
162,Debrecen - Tiszalök,Csatlakozásra várás miatti késés
163,Debrecen - Valea lui Mihai,Vonat műszaki hibája miatti késés
164,Debrecen - Vámospércs,Más vonat által okozott késés
165,Debrecen - Záhony,Baleset miatti késés
166,Diósjenő - Vác,Biztosítóberendezési hiba miatti késés
167,Dombóvár - Gyékényes,Baleset miatti késés
168,Dombóvár - Komló,Csatlakozásra várás miatti késés
169,Dombóvár - Nagykanizsa,Biztosítóberendezési hiba miatti késés
170,Dombóvár - Pusztaszabolcs,Biztosítóberendezési hiba miatti késés
171,Dombóvár - Pécs,Baleset miatti késés
172,Dombóvár - Szentlőrinc,Csatlakozásra várás miatti késés
173,Drégelypalánk - Vác,Vonat műszaki hibája miatti késés
174,Dunaújváros - Simontornya,Vonat műszaki hibája miatti késés
175,Eger - Füzesabony,Baleset miatti késés
176,Eger - Hatvan,Biztosítóberendezési hiba miatti késés
177,Eger - Szilvásvárad,Csatlakozásra várás miatti késés
178,Egyek - Füzesabony,Más vonat által okozott késés
179,Esztergom - Komárom,Más vonat által okozott késés
180,Esztergom - Süttő,Vonat műszaki hibája miatti késés
181,Fehérgyarmat - Mátészalka,Vonat műszaki hibája miatti késés
182,Fehérgyarmat - Zajta,Időjárási ok miatti késés
183,Felsőmocsolád - Kaposvár,Időjárási ok miatti késés
184,Fonyód - Kaposvár,Biztosítóberendezési hiba miatti késés
185,Fonyód - Keszthely,Csatlakozásra várás miatti késés
186,Fonyód - Siófok,Biztosítóberendezési hiba miatti késés
187,Füzesabony - Hatvan,Biztosítóberendezési hiba miatti késés
188,Füzesabony - Miskolc-Tiszai,Baleset miatti késés
189,Füzesabony - Nyíregyháza,Baleset miatti késés
190,Füzesabony - Szerencs,Biztosítóberendezési hiba miatti késés
191,Füzesabony - Sátoraljaújhely,Biztosítóberendezési hiba miatti késés
192,Füzesabony - Vámosgyörk,Biztosítóberendezési hiba miatti késés
193,Gyoma - Vésztő,Csatlakozásra várás miatti késés
194,Gyula - Szeged,Pálya állapota miatti késés
195,Gyékényes - Kaposvár,Biztosítóberendezési hiba miatti késés
196,Gyékényes - Nagykanizsa,Biztosítóberendezési hiba miatti késés
197,Gyöngyös - Vámosgyörk,Biztosítóberendezési hiba miatti késés
198,Győr - Hegyeshalom,Biztosítóberendezési hiba miatti késés
199,Győr - Kaposvár,Biztosítóberendezési hiba miatti késés
200,Győr - Mosonmagyaróvár,Biztosítóberendezési hiba miatti késés
201,Győr - Pécs,Biztosítóberendezési hiba miatti késés
