epoch,not_delayed_count,delayed_count,delayed_percentage
18628,2606,555,17.55773489402088
18629,2718,509,15.773163929346143
18630,2680,595,18.16793893129771
18631,2904,1095,27.38184546136534
18632,2849,1184,29.357798165137616
18633,2860,1152,28.713858424725824
18634,2862,1165,28.929724360566176
18635,2702,1320,32.819492789656884
18636,2527,740,22.650749923477196
18637,2577,687,21.047794117647058
18638,2763,1251,31.16591928251121
18639,2615,1315,33.460559796437664
18640,2663,1351,33.657199800697555
18641,2658,1359,33.83121732636295
18642,2725,1313,32.516097077761266
18643,2464,817,24.900944833892105
18644,2477,781,23.971761817065683
18645,2450,1573,39.10017399950286
18646,2592,1402,35.10265398097146
18647,2643,1324,33.37534660952861
18648,2587,1374,34.68821004796768
18649,2652,1306,32.99646286003032
18650,2602,705,21.31841548231025
18651,2504,700,21.84769038701623
18652,2548,1351,34.64991023339318
18653,2739,1240,31.1636089469716
18654,2737,1241,31.196581196581196
18655,2688,1323,32.98429319371728
18656,2581,1444,35.87577639751553
18657,2439,627,20.45009784735812
18658,2512,784,23.78640776699029
18659,2545,1475,36.691542288557216
18660,2638,1369,34.16521088095833
18661,2592,1414,35.29705441837244
18662,2706,1292,32.31615807903952
18663,2665,1302,32.82077136375094
18664,2521,774,23.490136570561457
18665,2493,774,23.69146005509642
18666,2581,1428,35.619855325517584
18667,2583,1438,35.76224819696593
18668,2555,1434,35.948859363248935
18669,2042,1970,49.10269192422732
18670,2102,1925,47.802334243853984
18671,2095,1171,35.854255970606246
18672,2428,853,25.998171289241085
18673,2603,1394,34.87615711783838
18674,2448,1390,36.216779572694115
18675,2445,1315,34.97340425531915
18676,2506,1318,34.46652719665272
18677,2690,1354,33.481701285855586
18678,2474,798,24.38875305623472
18679,2474,763,23.571207908557305
18680,2653,1358,33.85689354275742
18681,2624,1395,34.71012689723812
18682,2624,1378,34.4327836081959
18683,2628,1378,34.398402396405395
18684,2654,1359,33.864938948417645
18685,2479,783,24.00367872470877
18686,2488,757,23.32819722650231
18687,2561,1243,32.67613038906415
18689,2623,1198,31.353048940068046
18690,2634,1193,31.173242748889468
18691,2552,1257,33.000787608296136
18692,2402,702,22.6159793814433
18693,2344,718,23.448726322664925
18694,2824,1010,26.34324465310381
18696,2745,1072,28.08488341629552
18698,2614,1216,31.74934725848564
18699,2498,607,19.54911433172303
18700,2708,536,16.52281134401973
18701,2549,547,17.667958656330747
18702,2806,973,25.74755226250331
18703,2697,1047,27.96474358974359
18704,2925,980,25.096030729833547
18705,2813,973,25.699947173798204
18707,2502,778,23.71951219512195
18708,2780,994,26.338102808691044
18709,2696,1095,28.884199419678186
18710,2664,1106,29.336870026525197
18711,2671,1121,29.56223628691983
18713,2334,634,21.361185983827493
18714,2310,668,22.431161853593014
18715,2772,1016,26.821541710665258
18717,2556,1174,31.474530831099194
18718,2513,1171,31.786102062975026
18719,167,19,10.21505376344086
18721,2620,540,17.088607594936708
18722,2530,632,19.987349778621123
18724,2895,1047,26.56012176560122
18725,2844,1121,28.272383354350566
18726,159,29,15.425531914893616
18727,2632,666,20.194057004244996
18728,143,48,25.13089005235602
18729,155,37,19.270833333333336
18730,2704,1255,31.69992422328871
18731,148,40,21.27659574468085
18732,142,44,23.655913978494624
18734,2647,643,19.544072948328267
18735,2610,676,20.57212416311625
18736,2874,1138,28.364905284147557
18737,2812,1187,29.68242060515129
18738,150,37,19.786096256684495
18740,149,37,19.892473118279568
18741,2261,876,27.924768887472105
18742,2197,930,29.740965781899586
18743,150,36,19.35483870967742
18744,2904,1105,27.562983287602894
18745,2779,1166,29.55640050697085
18746,2851,1166,29.026636793627087
18747,149,37,19.892473118279568
18748,2447,843,25.623100303951368
18749,2391,895,27.236762020693856
18750,2713,1232,31.229404309252217
18751,2696,1238,31.469242501270973
18752,2680,1289,32.476694381456284
18753,2752,1224,30.784708249496983
18754,2656,1320,33.199195171026155
18755,2311,938,28.870421668205605
18756,2319,920,28.40382834208089
18757,2490,1286,34.05720338983051
18758,2508,1417,36.10191082802548
18759,2781,1209,30.30075187969925
18760,2712,1256,31.653225806451612
18761,2713,1262,31.748427672955977
18762,2285,997,30.377818403412554
18763,2434,840,25.65668906536347
18764,2562,1385,35.089941727894605
18765,2652,1284,32.6219512195122
18766,2628,1277,32.70166453265045
18767,2792,1194,29.954841946813847
18768,2399,1518,38.754148583099315
18769,2453,830,25.281754492841912
18770,2484,765,23.545706371191137
18771,2524,736,22.57668711656442
18772,2642,1324,33.38376197680282
18773,2701,1268,31.947593852355755
18774,2559,1384,35.100177529799645
18775,2591,1424,35.46699875466999
18776,2310,959,29.336188436830835
18777,2385,860,26.502311248073962
18778,2723,1258,31.600100477267016
18779,154,42,21.428571428571427
18780,2448,1550,38.76938469234617
18781,147,51,25.757575757575758
18782,2314,1724,42.69440316988608
18783,141,63,30.88235294117647
18784,150,58,27.884615384615387
18785,141,54,27.692307692307693
18787,170,56,24.778761061946902
18788,172,58,25.217391304347824
18789,165,65,28.26086956521739
18790,174,59,25.321888412017167
18791,179,61,25.416666666666664
18792,202,43,17.551020408163264
18793,195,59,23.228346456692915
18794,192,68,26.153846153846157
18795,1367,915,40.09640666082384
18796,191,80,29.520295202952028
18797,164,113,40.794223826714806
18798,154,121,44.0
18799,178,107,37.54385964912281
18800,168,120,41.66666666666667
18801,174,120,40.816326530612244
18802,1885,2060,52.21799746514575
18803,1953,2013,50.75642965204236
18804,165,135,45.0
18805,172,133,43.606557377049185
18806,2227,1786,44.50535758783952
18807,2150,1800,45.56962025316456
18808,185,131,41.45569620253164
18809,2288,1719,42.899925131020716
18810,2351,1659,41.3715710723192
18811,2145,1217,36.19869125520523
18812,2109,1265,37.492590397154714
18813,2190,1809,45.23630907726932
18814,2013,1717,46.03217158176944
18815,2229,1696,43.210191082802545
18816,2124,1542,42.06219312602291
18817,2005,1863,48.16442605997931
18818,1865,1414,43.1229033241842
18819,1792,1420,44.20921544209215
18820,2093,1753,45.57982319292771
18821,2021,1859,47.91237113402062
18822,1994,1873,48.43547970002586
18823,2046,1805,46.87094261230849
18824,2180,1722,44.13121476166069
18825,1777,1388,43.854660347551345
18826,1782,1500,45.703839122486286
18827,1904,2003,51.26695674430509
18828,2049,1822,47.06794110049083
18829,2127,1723,44.753246753246756
18830,2091,1738,45.390441368503524
18831,2133,1762,45.23748395378691
18832,1837,1435,43.85696821515893
18833,1941,1303,40.166461159062884
18834,2171,1769,44.898477157360404
18835,2300,1580,40.72164948453608
18836,2239,1759,43.99699849924962
18837,2308,1722,42.72952853598015
18838,2337,1704,42.16778025241277
18839,2083,1323,38.84321785085144
18840,1886,1496,44.234180958013006
18841,2257,1754,43.729743206182995
18842,2489,1518,37.883703518842026
18843,2335,1665,41.625
18844,2273,1676,42.44112433527476
18845,2095,1878,47.26906619682859
18846,1816,1394,43.42679127725857
18847,1694,1358,44.4954128440367
18848,1762,1952,52.557889068389876
18849,2035,1720,45.80559254327563
18850,1821,1918,51.29713827226531
18851,2047,1702,45.39877300613497
18852,1925,1852,49.03362456976436
18853,1720,1424,45.29262086513995
18854,1814,1294,41.63449163449163
18855,1755,1903,52.02296336796064
18856,1831,1906,51.003478726251004
18857,2013,1722,46.10441767068273
18858,1937,1798,48.13922356091031
18859,1720,1451,45.75843582466099
18860,1964,1158,37.09160794362588
18861,1817,1333,42.317460317460316
18862,2083,1661,44.36431623931624
18863,2084,1627,43.842630018862835
18864,2039,1659,44.862087614926985
18865,2039,1693,45.364415862808144
18866,2005,1632,44.87214737420951
18867,2005,1127,35.98339719029374
18868,1818,1291,41.524605982631066
18869,2131,1504,41.375515818431914
18870,2161,1518,41.261212285947266
18871,2381,1598,40.16084443327469
18872,2519,1485,37.08791208791209
18873,2328,1661,41.63950864878416
18874,1101,748,40.454299621416986
18875,1739,1276,42.32172470978441
18876,2480,1528,38.12375249500998
18877,2406,1564,39.395465994962215
18878,2335,1627,41.065118626956085
18880,2360,1655,41.220423412204234
18883,2347,1583,40.279898218829516
18884,2331,1629,41.13636363636364
18885,2393,1509,38.672475653511015
18886,2400,1578,39.66817496229261
18887,2269,1695,42.7598385469223
18888,2023,1155,36.34361233480176
18889,2018,1153,36.360769473352256
18890,2328,1522,39.53246753246753
18891,2468,1500,37.80241935483871
18892,2222,1708,43.46055979643766
18893,2296,1596,41.007194244604314
18894,2257,1794,44.28536163910145
18895,2157,1087,33.50801479654747
18896,2087,1220,36.89144239491986
18899,2341,1647,41.29889669007021
18901,2419,1624,40.16819193668068
18902,2040,1179,36.62628145386766
18903,2082,1186,36.29130966952264
18904,2365,1672,41.41689373297003
18905,2391,1631,40.551964196916956
18906,2075,1870,47.40177439797212
18907,2161,1776,45.110490220980445
18908,2239,1792,44.45547010667328
18909,2057,1299,38.70679380214541
18910,2036,1299,38.950524737631184
18911,2227,1789,44.54681274900398
18912,2144,1820,45.91321897073663
18913,2283,1719,42.95352323838081
18914,2231,1783,44.41953163926258
18915,2162,1859,46.232280527232035
18916,2207,1138,34.020926756352765
18917,2099,1205,36.47094430992736
18918,2411,1570,39.43732730469731
18919,2407,1558,39.29382093316519
18920,2235,1735,43.702770780856426
18921,2120,1848,46.57258064516129
18922,2103,1864,46.98764809679859
18923,2167,1084,33.34358658874193
18924,1902,1244,39.54227590591227
18925,2112,1807,46.108701199285534
18926,2255,1655,42.327365728900254
18927,2247,1682,42.8098752863324
18928,2209,1720,43.77704250445406
18929,2170,1816,45.55945810336176
18930,1965,1345,40.6344410876133
18931,2134,1150,35.01827040194884
18932,1987,1340,40.27652539825669
18933,2037,2008,49.64153275648949
18934,2248,1816,44.68503937007874
18935,1972,2061,51.1033969749566
18936,2125,1938,47.69874476987448
18937,2178,1160,34.7513481126423
18938,1969,1311,39.96951219512195
18939,2261,1796,44.26916440719744
18940,2300,1768,43.461160275319564
18941,2050,1968,48.97959183673469
18942,2241,1788,44.37825763216679
18943,2168,1865,46.24349119761964
18944,1976,1315,39.95745973868125
18945,2058,1197,36.774193548387096
18946,2253,1775,44.06653426017875
18947,2449,1608,39.63519842247967
18948,2272,1733,43.270911360799005
18949,2178,1846,45.87475149105368
18950,2082,1954,48.41427155599604
18951,1881,1208,39.106506960181285
18952,1867,1209,39.30429128738622
18953,2334,1694,42.05561072492552
18954,2479,1568,38.744749196936
18955,2239,1757,43.968968968968966
18956,2328,1702,42.2332506203474
18957,2089,1938,48.12515520238391
18958,2118,1116,34.50834879406308
18959,2042,1189,36.79975239863819
18960,2485,1574,38.7780241438778
