trainnumber,elviraid,delay
4319004,9,611.1001295839463
5511477,2,345.1012789236342
437914,24,342.12657135552354
5521248,1,324.1111111111111
5511247,1,294.8333333333333
5523735,1,289.7974683544304
5511249,1,240.0
5533278,1,230.64
5514994,1,230.0
5511131,1,229.34710743801654
5511245,1,224.42857142857142
5511222,1,211.36363636363637
5511228,1,206.60526315789474
5511224,1,197.35
5533279,1,196.51162790697674
5511347,1,178.6815286624204
5511281,2,176.55434782608697
5511463,1,165.0408163265306
5511237,1,163.66666666666666
5512688,1,160.52380952380952
5512143,1,160.32258064516128
5511937,1,155.0
5511280,2,154.2087559161596
5512072,1,142.43162393162393
5511122,1,124.0909090909091
5512974,1,118.77049180327869
36H8700,1,105.93253968253968
5512454,1,102.66666666666667
5512464,1,102.0
5511845,2,101.09605734767025
5512904,1,100.22
5511238,1,99.0
5512033,1,93.19838056680162
5512457,1,91.8
5511036,2,86.76279461279461
5511232,1,83.55555555555556
5512472,2,81.78356643356643
5512488,1,80.25
5512455,1,79.875
5512435,1,79.0
5511225,2,78.59288990825688
5512477,50,76.89235765807395
5512075,1,76.88235294117646
5511852,1,76.24
5512434,1,75.0
5511997,1,74.89473684210526
5512287,8,71.3515161549894
5511829,1,70.94705882352942
5512271,9,69.98681441109608
5511321,1,67.01333333333334
5512276,7,66.79620398256998
5512275,9,66.6711047356959
5512467,1,65.42857142857143
5515507,1,65.0
438906,2,64.59076433121018
438994,2,63.795995670995666
5512445,1,63.0
5512273,9,62.85112640223266
5511240,1,62.2
5511635,1,61.851063829787236
5512270,9,61.82668398375046
5511378,2,61.08181818181818
5512346,77,59.299762678662276
5512279,10,58.514382995328674
5511779,2,58.35483870967742
5511229,2,57.10127931769723
5511626,1,56.99009900990099
5511768,1,56.7536231884058
5512427,1,55.666666666666664
5511130,2,55.60188679245283
5516008,1,54.78102189781022
5512274,9,53.254957035866155
5511243,1,53.0
5512281,51,51.96117197808542
5512468,1,51.833333333333336
5511658,1,51.45263157894737
5512437,1,51.0
5511035,1,50.935483870967744
36H1209,38,50.45397808699813
36H9807,1,50.38513513513514
36H9407,1,49.354838709677416
5512272,9,48.7189602985326
5517408,2,47.711090400745576
551047,3,47.559592480488
5511031,1,47.0
5511529,2,46.74353448275862
5511601,1,46.42156862745098
5512277,9,46.408842710390616
5525238,1,45.7027027027027
5512444,1,45.0
5512193,1,44.625
5512864,2,44.57200616095495
5512447,1,44.0
5511847,5,43.14156996957844
36H8000,247,42.614768214063176
5519558,1,41.794871794871796
5511235,1,41.5
5516813,1,39.5
5518705,1,39.38095238095238
36H8729,1,39.16571428571429
5512442,1,39.125
5511555,1,39.0
5511972,1,38.91836734693877
5518900,1,38.84375
551046,1,38.72093023255814
5514511,1,38.714285714285715
5511844,2,38.001491901108274
5515184,1,37.26829268292683
5511737,2,35.727310924369746
5511241,1,35.72727272727273
36H6009,5,35.33375581006625
5511234,1,35.0
5516198,2,34.93636363636364
5512201,3,34.84071732921291
5512906,1,34.677304964539005
5511627,1,34.53846153846154
5512972,1,33.67272727272727
551205,103,32.42496488169173
5511476,1,32.25925925925926
5515513,1,32.0
36H1304,13,31.20954596721187
5511482,2,31.171969696969697
5513388,1,30.307692307692307
551246,67,30.17627454668242
5511484,3,29.33724672664765
5512131,48,28.89586071213776
