,0
0,Baleset miatti késés
1,Vonat műszaki hibája miatti késés
2,Társvasúttól átvett késés
3,Pálya állapota miatti késés
4,Csatlakozásra várás miatti késés
5,Más vonat által okozott késés
6,Hatósági intézkedés miatti késés
7,Biztosítóberendezési hiba miatti késés
8,Időjárási ok miatti késés
9,Pályaépítés miatti késés
10,Vonatpótló busz miatti késés
11,Váltó meghibásodás miatti késés
12,Felsővezetéki hiba miatti késés
13,Vasútüzemen kívülálló ok miatti késés
14,Utasforgalmi ok miatti késés
15,Rongálás miatti késés
16,Műszaki ok miatti késés vonatnál
17,Más vonattól átvett késés
18,Forgalmi ok miatti késés
19,Baleset miatti késés
20,Váltómeghibásodása miatti késés
21,Mentőre várás miatti késés
22,Társvasúttól átvett késés
23,Biztosítóberendezési hiba miatti késés
24,Csatlakozásra várás miatti késés
25,Műszaki ok miatti késés
