,relation,delay
106,"['Budapest-Keleti', 'Zürich HB']",30.664526402301213
46,"['Bucureşti Nord', 'Wien Hbf']",23.717333322927498
111,"['Budapest-Nyugati', 'Hamburg-Altona']",22.774894810659188
80,"['Budapest-Keleti', 'Graz Hbf']",20.61984481292517
346,"['Püspökladány', 'Wien Hbf']",18.07700081367814
86,"['Budapest-Keleti', 'Innsbruck Hbf.']",16.45291479820628
7,"['Baia Mare', 'Püspökladány']",14.98541730026753
99,"['Budapest-Keleti', 'Sopron']",14.1477347954883
89,"['Budapest-Keleti', 'Ljubljana']",12.2993764937695
119,"['Budapest-Nyugati', 'Praha hl. n.']",11.015693789357963
88,"['Budapest-Keleti', 'Kosice']",10.908768252737264
92,"['Budapest-Keleti', 'München Hbf']",10.554165801536472
102,"['Budapest-Keleti', 'Szombathely']",10.442276506456869
380,"['Wien Hbf', 'Záhony']",9.604597330450552
231,"['Győr', 'Tatabánya']",9.40495867768595
324,"['Nagykanizsa', 'Szombathely']",9.113097198465903
19,"['Balassagyarmat', 'Hatvan']",8.792363169826363
78,"['Budapest-Keleti', 'Frankfurt(Main)Hbf']",8.782642089093702
74,"['Budapest-Keleti', 'Budapest-Nyugati']",7.834064741852764
32,"['Barcs', 'Pécs']",7.631191304069972
130,"['Bátaszék', 'Székesfehérvár']",6.899253731343284
192,"['Dombóvár', 'Szentlőrinc']",6.865530303030304
100,"['Budapest-Keleti', 'Szentgotthárd']",6.814455349569854
343,"['Pécs', 'Szombathely']",6.793771545089955
237,"['Hatvan', 'Miskolc-Tiszai']",6.516503255744331
42,"['Breclav', 'Budapest-Nyugati']",6.4942384004884
43,"['Brno hl. n.', 'Budapest-Nyugati']",6.417218543046357
310,"['Miskolc-Tiszai', 'Tornanádaska']",6.398530451659214
218,"['Füzesabony', 'Vámosgyörk']",6.368756953200326
172,"['Debrecen', 'Mátészalka']",6.2022838868839045
378,"['Vámosgyörk', 'Újszász']",6.172506738544475
202,"['Eger', 'Szilvásvárad']",6.129492807321627
215,"['Füzesabony', 'Nyíregyháza']",6.128314309343745
260,"['Kecskemét', 'Lajosmizse']",6.04287045666356
97,"['Budapest-Keleti', 'Pécs']",5.991455121880239
95,"['Budapest-Keleti', 'Nyíregyháza']",5.808948004836759
216,"['Füzesabony', 'Szerencs']",5.78656514264877
114,"['Budapest-Nyugati', 'Miskolc-Tiszai']",5.756348963679647
178,"['Debrecen', 'Satu Mare']",5.588709677419355
372,"['Székesfehérvár', 'Üllő']",5.54679802955665
169,"['Debrecen', 'Füzesabony']",5.495621308976446
382,"['Zalaegerszeg', 'Őriszentpéter']",5.398962386511025
308,"['Miskolc-Tiszai', 'Sátoraljaújhely']",5.393273414836303
306,"['Miskolc-Tiszai', 'Szendrő']",5.225913621262459
365,"['Szolnok', 'Záhony']",5.124463519313305
116,"['Budapest-Nyugati', 'Mukachevo']",5.113030544943072
82,"['Budapest-Keleti', 'Győr']",5.071015995526665
213,"['Füzesabony', 'Hatvan']",5.048192771084337
47,"['Budapest-Déli', 'Celldömölk']",4.991995155004514
214,"['Füzesabony', 'Miskolc-Tiszai']",4.950140549008276
232,"['Győr', 'Veszprém']",4.794662529176312
77,"['Budapest-Keleti', 'Eger']",4.787846353181116
189,"['Dombóvár', 'Nagykanizsa']",4.7804143299025625
312,"['Mohács', 'Pécs']",4.779613327390239
69,"['Budapest-Déli', 'Zagreb Glavni Kol.']",4.763168167435506
275,"['Kisújszállás', 'Kál-Kápolna']",4.63647392651842
120,"['Budapest-Nyugati', 'Szeged']",4.631345199587059
240,"['Hatvan', 'Szolnok']",4.581532155868842
139,"['Békéscsaba', 'Szeged']",4.543681926466613
262,"['Kecskemét', 'Szolnok']",4.478970108497895
123,"['Budapest-Nyugati', 'Terespol']",4.456414259692948
313,"['Mohács', 'Villány']",4.415102379014661
368,"['Szombathely', 'Zalaszentiván']",4.318170864590755
254,"['Kaposvár', 'Nagykanizsa']",4.2846299810246675
274,"['Kisköre', 'Kál-Kápolna']",4.261488723823161
105,"['Budapest-Keleti', 'Wien Hbf']",4.178147737082254
54,"['Budapest-Déli', 'Ljubljana']",4.14629276719046
76,"['Budapest-Keleti', 'Debrecen']",4.109165808444902
300,"['Mezőhegyes', 'Orosháza']",3.9
304,"['Mezőtúr', 'Szolnok']",3.8639633358274947
75,"['Budapest-Keleti', 'Békéscsaba']",3.7399597053782854
179,"['Debrecen', 'Tiborszállás']",3.7320819112627985
256,"['Kaposvár', 'Somogyszob']",3.7220241632006337
292,"['Lenti', 'Zalaegerszeg']",3.6832261866495233
70,"['Budapest-Déli', 'Zalaegerszeg']",3.669752355684732
194,"['Drégelypalánk', 'Vác']",3.6583324119121334
190,"['Dombóvár', 'Pusztaszabolcs']",3.6581205483189203
174,"['Debrecen', 'Nyíregyháza']",3.642857142857143
168,"['Debrecen', 'Fehérgyarmat']",3.63797545119348
268,"['Kiskunfélegyháza', 'Kunszentmárton']",3.625873400207541
230,"['Győr', 'Szombathely']",3.5378927911275415
185,"['Diósjenő', 'Vác']",3.5337244915409705
29,"['Balmazújváros', 'Budapest-Keleti']",3.4789055973266496
51,"['Budapest-Déli', 'Győr']",3.4539092693872018
258,"['Karcag', 'Tiszafüred']",3.4435812534142753
350,"['Rédics', 'Zalaegerszeg']",3.4275496767345146
247,"['Hódmezővásárhely', 'Kiskunfélegyháza']",3.3255040704070407
269,"['Kiskunfélegyháza', 'Lakitelek']",3.3216908676347057
91,"['Budapest-Keleti', 'Miskolc-Tiszai']",3.3135734314564584
96,"['Budapest-Keleti', 'Prešov']",3.28
303,"['Mezőtúr', 'Szarvas']",3.2718820861678006
364,"['Szolnok', 'Vámosgyörk']",3.2483193852647183
41,"['Braşov', 'Budapest-Keleti']",3.2455958769958784
160,"['Csenger', 'Debrecen']",3.1904761904761907
45,"['Bucureşti Nord', 'Budapest-Keleti']",3.157893929401994
147,"['Celldömölk', 'Győr']",3.1571487848055737
128,"['Bátaszék', 'Dombóvár']",3.1433962264150943
158,"['Cinkota', 'Örs vezér tere']",3.0848710224063263
212,"['Fonyód', 'Siófok']",3.051282051282051
61,"['Budapest-Déli', 'Szombathely']",3.027020495011743
271,"['Kiskunfélegyháza', 'Szentes']",3.0167259378852176
146,"['Cegléd', 'Záhony']",2.9573621375781696
272,"['Kisköre', 'Kisújszállás']",2.9382926504902493
323,"['Nagykanizsa', 'Pécs']",2.928
371,"['Székesfehérvár', 'Veszprém']",2.915646372375532
21,"['Balassagyarmat', 'Vác']",2.90692474830759
26,"['Balatonszentgyörgy', 'Győr']",2.892336592897581
241,"['Hegyeshalom', 'Rajka']",2.885758098524056
277,"['Komárom', 'Székesfehérvár']",2.878837472108793
33,"['Barcs', 'Szentlőrinc']",2.865168539325843
127,"['Budapest-Nyugati', 'Záhony']",2.863566016182295
248,"['Hódmezővásárhely', 'Szentes']",2.8457398560803044
65,"['Budapest-Déli', 'Tapolca']",2.8356444021089735
351,"['Répcelak', 'Szombathely']",2.8351648351648353
48,"['Budapest-Déli', 'Dombóvár']",2.835080433147642
211,"['Fonyód', 'Osztopán']",2.8125
307,"['Miskolc-Tiszai', 'Szerencs']",2.8110008271298597
56,"['Budapest-Déli', 'Nagykanizsa']",2.789149307507602
151,"['Celldömölk', 'Szombathely']",2.7826326814733857
37,"['Beli Manastir', 'Pécs']",2.780361395596757
363,"['Szerencs', 'Sátoraljaújhely']",2.765741468841386
39,"['Boráros tér', 'Csepel']",2.7657227038311403
318,"['Mátészalka', 'Zajta']",2.7486859043123797
217,"['Füzesabony', 'Sátoraljaújhely']",2.7478108581436076
356,"['Sopron', 'Szombathely']",2.73941172282927
229,"['Győr', 'Sopron']",2.6794330028924045
34,"['Batthyány tér', 'Békásmegyer']",2.6525506824117002
27,"['Balatonszentgyörgy', 'Nagykanizsa']",2.628014282332518
149,"['Celldömölk', 'Keszthely']",2.618320610687023
170,"['Debrecen', 'Hajdúnánás']",2.6128550483609785
224,"['Győr', 'Kaposvár']",2.601736769547719
297,"['Martonvásár', 'Üllő']",2.566265060240964
159,"['Csengele', 'Kiskunfélegyháza']",2.5490942028985506
57,"['Budapest-Déli', 'Oroszlány']",2.5224470607421625
109,"['Budapest-Nyugati', 'Debrecen']",2.5067285194636653
14,"['Baja', 'Székesfehérvár']",2.5006200234109572
4,"['Arad', 'Budapest-Keleti']",2.4761443003738766
233,"['Győr', 'Wien Hbf']",2.4692044347132747
148,"['Celldömölk', 'Kaposvár']",2.4632470150251446
357,"['Sopron', 'Zalaegerszeg']",2.4594594594594597
31,"['Barcs', 'Nagykanizsa']",2.442831215970962
2,"['Ajka', 'Szombathely']",2.4342689320016837
200,"['Eger', 'Füzesabony']",2.422056641923294
85,"['Budapest-Keleti', 'Hegyeshalom']",2.3930906483317163
154,"['Celldömölk', 'Zalaegerszeg']",2.359778328802605
53,"['Budapest-Déli', 'Komárom']",2.3561007341325153
191,"['Dombóvár', 'Pécs']",2.3496742815500142
329,"['Nyékládháza', 'Tiszaújváros']",2.3343358395989977
270,"['Kiskunfélegyháza', 'Szeged']",2.3340626838220064
347,"['Püspökladány', 'Záhony']",2.316670361338949
348,"['Rajka', 'Tatabánya']",2.3142857142857145
366,"['Szombathely', 'Veszprém']",2.3096897918685033
134,"['Békéscsaba', 'Lőkösháza']",2.3081781203168488
223,"['Győr', 'Hegyeshalom']",2.2365044227122857
104,"['Budapest-Keleti', 'Timişoara Nord']",2.219823322759985
291,"['Lakitelek', 'Szolnok']",2.214569912845775
244,"['Hidasnémeti', 'Miskolc-Tiszai']",2.195355683356727
305,"['Miskolc-Tiszai', 'Nyíregyháza']",2.160310542703016
336,"['Orosháza', 'Szeged']",2.1439304387360765
38,"['Bicske', 'Budapest-Kelenföld']",2.1404958677685952
299,"['Mezőhegyes', 'Mezőtúr']",2.1403460868359856
6,"['Aszód', 'Balassagyarmat']",2.1312888640970815
94,"['Budapest-Keleti', 'Nagykáta']",2.091002069705256
87,"['Budapest-Keleti', 'Kaposvár']",2.079736375483347
23,"['Balatonfüred', 'Budapest-Kelenföld']",2.04
273,"['Kisköre', 'Kunhegyes']",2.0
206,"['Fehérgyarmat', 'Mátészalka']",1.9867233614248183
1,"['Abaújszántó', 'Szerencs']",1.9852105144658334
355,"['Sopron', 'Szentgotthárd']",1.9415366729980557
153,"['Celldömölk', 'Veszprém']",1.9393203883495145
81,"['Budapest-Keleti', 'Gyékényes']",1.9373335435035024
163,"['Csorna', 'Pápa']",1.9226260110444418
93,"['Budapest-Keleti', 'München Ost']",1.8878823878823878
117,"['Budapest-Nyugati', 'Nyíregyháza']",1.8806318005681297
126,"['Budapest-Nyugati', 'Vácrátót']",1.8676470588235294
309,"['Miskolc-Tiszai', 'Tiszaújváros']",1.8450193423597678
60,"['Budapest-Déli', 'Siófok']",1.844812651586398
90,"['Budapest-Keleti', 'Lőkösháza']",1.8402399127589968
227,"['Győr', 'Pécs']",1.8346953490847167
251,"['Jászapáti', 'Újszász']",1.8295454545454546
243,"['Hetényegyháza', 'Kecskemét']",1.8276515151515151
133,"['Békéscsaba', 'Kötegyán']",1.8210114103149246
320,"['Nagyatád', 'Somogyszob']",1.8186216991670665
369,"['Székesfehérvár', 'Sárbogárd']",1.803030303030303
279,"['Kápolnásnyék', 'Kőbánya-Kispest']",1.7862068965517242
112,"['Budapest-Nyugati', 'Kecskemét']",1.7849513473434122
245,"['Hodoš', 'Zalaegerszeg']",1.7467850948400172
265,"['Kerepes', 'Örs vezér tere']",1.7455738705738706
239,"['Hatvan', 'Somoskőújfalu']",1.717496277414098
302,"['Mezőtúr', 'Orosháza']",1.707824056052939
221,"['Gyékényes', 'Nagykanizsa']",1.6724806201550388
186,"['Dombóvár', 'Gyékényes']",1.6675355961329799
338,"['Oroszlány', 'Tatabánya']",1.6448522959929806
164,"['Csorna', 'Rajka']",1.639574738449616
152,"['Celldömölk', 'Tapolca']",1.6370292207792208
334,"['Nyíregyháza', 'Vásárosnamény']",1.613863860843716
108,"['Budapest-Nyugati', 'Dabas']",1.6133199178811717
342,"['Pécs', 'Szentlőrinc']",1.6098651960784314
222,"['Gyöngyös', 'Vámosgyörk']",1.5946663661273395
180,"['Debrecen', 'Tiszafüred']",1.5872539831302717
52,"['Budapest-Déli', 'Keszthely']",1.55819034844411
9,"['Baja', 'Dombóvár']",1.5526107373534976
144,"['Cegléd', 'Nyíregyháza']",1.5484502506084064
352,"['Sellye', 'Szentlőrinc']",1.535550127325211
140,"['Békéscsaba', 'Szolnok']",1.5267274160523145
44,"['Bruck/Leitha', 'Győr']",1.5229412072324124
11,"['Baja', 'Kiskunfélegyháza']",1.5016512871088108
122,"['Budapest-Nyugati', 'Szolnok']",1.4997456064888781
64,"['Budapest-Déli', 'Sárbogárd']",1.4960543250016933
264,"['Kecskemét', 'Táborfalva']",1.4957627118644068
249,"['Jászapáti', 'Szolnok']",1.4915470991890207
311,"['Miskolc-Tiszai', 'Ózd']",1.4841573579171365
28,"['Balatonszentgyörgy', 'Tapolca']",1.4805010167905412
242,"['Hegyeshalom', 'Szombathely']",1.4525637714169424
181,"['Debrecen', 'Tiszalök']",1.4518735033955341
165,"['Csorna', 'Szany-Rábaszentandrás']",1.4185647006055169
286,"['Kőbánya-Kispest', 'Székesfehérvár']",1.4164918961350064
17,"['Bakonyszentlászló', 'Győr']",1.4139988987293184
68,"['Budapest-Déli', 'Veszprém']",1.408484485084695
370,"['Székesfehérvár', 'Tapolca']",1.406452583430879
166,"['Csorna', 'Szombathely']",1.403061567791858
150,"['Celldömölk', 'Pápa']",1.3912739836800707
295,"['Magyarbóly', 'Pécs']",1.3875964081306273
360,"['Szentes', 'Szolnok']",1.3790581929811707
66,"['Budapest-Déli', 'Tatabánya']",1.3725490196078431
228,"['Győr', 'Rajka']",1.3567754952527813
285,"['Kőbánya-Kispest', 'Martonvásár']",1.3522309477065857
176,"['Debrecen', 'Nyírábrány']",1.351033015966222
367,"['Szombathely', 'Zalaegerszeg']",1.34562728067191
266,"['Keszthely', 'Tapolca']",1.337085922603464
63,"['Budapest-Déli', 'Székesfehérvár']",1.332143182733117
141,"['Békéscsaba', 'Vésztő']",1.3172170773436596
101,"['Budapest-Keleti', 'Szolnok']",1.3137780127985055
107,"['Budapest-Nyugati', 'Cegléd']",1.274692896179657
136,"['Békéscsaba', 'Mezőtúr']",1.2467532467532467
173,"['Debrecen', 'Nagykereki']",1.218304076175734
182,"['Debrecen', 'Záhony']",1.192666037573318
208,"['Felsőmocsolád', 'Kaposvár']",1.1631889136667728
362,"['Szentgotthárd', 'Szombathely']",1.15663776994822
339,"['Piliscsaba', 'Rákos']",1.150151463412581
296,"['Magyarbóly', 'Villány']",1.1155957161981258
35,"['Batthyány tér', 'Szentendre']",1.1093166320255246
317,"['Mátészalka', 'Vásárosnamény']",1.0881595881595882
354,"['Siófok', 'Tab']",1.069446285655848
15,"['Baja', 'Sárbogárd']",1.0688259109311742
55,"['Budapest-Déli', 'Martonvásár']",1.0609218638784976
280,"['Kápolnásnyék', 'Üllő']",1.0598290598290598
110,"['Budapest-Nyugati', 'Esztergom']",0.9889143107117686
345,"['Püspökladány', 'Vésztő']",0.9853222164321696
379,"['Vásárosnamény', 'Záhony']",0.9822945670022132
20,"['Balassagyarmat', 'Ipolytarnóc']",0.977687964740252
319,"['Mátészalka', 'Záhony']",0.9771713525785187
289,"['Kőszeg', 'Szombathely']",0.9679724753668857
113,"['Budapest-Nyugati', 'Lajosmizse']",0.9473912422669748
209,"['Fonyód', 'Kaposvár']",0.9473601400808241
40,"['Bratislava-Petrzalka', 'Hegyeshalom']",0.93290214278661
16,"['Baja', 'Tolna-Mözs']",0.9193548387096774
0,"['Abaújszántó', 'Hidasnémeti']",0.9182387374539923
287,"['Kőbánya-Kispest', 'Tárnok']",0.9060096250490326
238,"['Hatvan', 'Pásztó']",0.9010989010989011
162,"['Csorna', 'Hegyeshalom']",0.8975274890683445
125,"['Budapest-Nyugati', 'Vác']",0.8916644257853942
115,"['Budapest-Nyugati', 'Monor']",0.8755833024181672
376,"['Tiborszállás', 'Záhony']",0.8750749650163258
30,"['Balmazújváros', 'Tiszafüred']",0.8717948717948718
184,"['Decs', 'Tolna-Mözs']",0.8529411764705882
204,"['Esztergom', 'Komárom']",0.8521362551970135
83,"['Budapest-Keleti', 'Gödöllő']",0.8416128982716011
3,"['Angyalföld', 'Piliscsaba']",0.8260869565217391
10,"['Baja', 'Kecskemét']",0.8007223420473506
49,"['Budapest-Déli', 'Dunaújváros']",0.7995155441914157
138,"['Békéscsaba', 'Salonta']",0.7955275370336222
344,"['Püspökladány', 'Szeghalom']",0.7954207656116339
25,"['Balatonfüred', 'Tapolca']",0.7927801218940459
143,"['Cegléd', 'Kecskemét']",0.7894736842105263
84,"['Budapest-Keleti', 'Hatvan']",0.7859831336295989
118,"['Budapest-Nyugati', 'Piliscsaba']",0.7826876513317191
59,"['Budapest-Déli', 'Pusztaszabolcs']",0.7796849884999992
284,"['Kőbánya-Kispest', 'Lajosmizse']",0.7755102040816326
375,"['Tiborszállás', 'Vásárosnamény']",0.7691559446434098
67,"['Budapest-Déli', 'Tárnok']",0.7679420984694818
24,"['Balatonfüred', 'Székesfehérvár']",0.7669740121237891
137,"['Békéscsaba', 'Orosháza']",0.7658765711876465
353,"['Siófok', 'Székesfehérvár']",0.7529362106416628
331,"['Nyíregyháza', 'Szerencs']",0.75102351578813
373,"['Sümeg', 'Ukk']",0.7505681818181817
199,"['Dunaújváros', 'Simontornya']",0.7364884134019947
121,"['Budapest-Nyugati', 'Szob']",0.7129238013856275
316,"['Mátészalka', 'Tiborszállás']",0.7122967504826017
5,"['Arad', 'Szolnok']",0.6910623159748905
12,"['Baja', 'Kiskunhalas']",0.6904761904761905
250,"['Jászapáti', 'Vámosgyörk']",0.6886521525080684
322,"['Nagydorog', 'Székesfehérvár']",0.6807971014492753
335,"['Nyíregyháza', 'Záhony']",0.6723680240351158
62,"['Budapest-Déli', 'Százhalombatta']",0.6434209387195162
294,"['Lőkösháza', 'Szolnok']",0.6428571428571429
246,"['Hódmezővásárhely vasútállomás', 'Szeged vasútállomás']",0.6428192867698557
22,"['Balatonfüred', 'Budapest-Déli']",0.6372795969773299
236,"['Görögszállás', 'Tiszalök']",0.6357217680981515
381,"['Zalaegerszeg', 'Zalaszentiván']",0.6297752808988764
259,"['Kecskemét', 'Kiskunfélegyháza']",0.6201883134865688
79,"['Budapest-Keleti', 'Füzesabony']",0.6175637827071196
341,"['Pusztaszabolcs', 'Székesfehérvár']",0.6132664015239091
293,"['Lőkösháza', 'Mezőtúr']",0.6089743589743589
188,"['Dombóvár', 'Komló']",0.6078124758683532
290,"['Lajosmizse', 'Ócsa']",0.6010362694300518
255,"['Kaposvár', 'Siófok']",0.5903639546811251
142,"['Cece', 'Dunaújváros']",0.577968404477264
193,"['Dombóvár', 'Sárbogárd']",0.5511811023622047
103,"['Budapest-Keleti', 'Sülysáp']",0.5338751052344872
187,"['Dombóvár', 'Kaposvár']",0.5252131275422076
349,"['Rákos', 'Óbuda']",0.5234375
328,"['Nagyszénás', 'Szentes']",0.5157894736842106
175,"['Debrecen', 'Nyírgelse']",0.5
253,"['Kaposvár', 'Kisbárapáti']",0.49732813063168946
167,"['Csömör', 'Örs vezér tere']",0.49555673382820786
50,"['Budapest-Déli', 'Fonyód']",0.4945908940447173
325,"['Nagykanizsa', 'Zalaegerszeg']",0.492034974248413
135,"['Békéscsaba', 'Mezőhegyes']",0.4816477284990255
219,"['Gyoma', 'Vésztő']",0.4771602976605378
73,"['Budapest-Kelenföld', 'Tárnok']",0.46875
220,"['Gyékényes', 'Kaposvár']",0.46829678617008935
195,"['Dunaharaszti külső', 'Közvágóhíd']",0.46813549384667563
210,"['Fonyód', 'Keszthely']",0.46308724832214765
203,"['Egyek', 'Füzesabony']",0.45906894861612635
131,"['Bátaszék', 'Sárbogárd']",0.45797574416188624
156,"['Cinkota', 'Gödöllő']",0.4514545824432916
288,"['Kőbánya-Kispest', 'Ócsa']",0.44360902255639095
326,"['Nagykáta', 'Szolnok']",0.4432791155199645
13,"['Baja', 'Szekszárd']",0.4422579453067258
267,"['Keszthely', 'Ukk']",0.4407183434121312
201,"['Eger', 'Hatvan']",0.43567251461988304
361,"['Szentes', 'Tiszatenyő']",0.42322301781348237
314,"['Mátészalka', 'Nyírbátor']",0.41523985505821914
282,"['Közvágóhíd', 'Ráckeve']",0.41009039092931077
315,"['Mátészalka', 'Nyíregyháza']",0.40890834444053153
337,"['Orosháza', 'Szentes']",0.40153882094827936
71,"['Budapest-Kelenföld', 'Kőbánya-Kispest']",0.4
333,"['Nyíregyháza', 'Tiszalök']",0.3961517615176152
278,"['Kunszentmárton', 'Szentes']",0.384
235,"['Gödöllő', 'Örs vezér tere']",0.3820478297600387
58,"['Budapest-Déli', 'Pincehely']",0.3782051282051282
283,"['Közvágóhíd', 'Tököl']",0.37281993509147615
157,"['Cinkota', 'Kerepes']",0.36363636363636365
257,"['Kaposvár', 'Tab']",0.35632533942393096
196,"['Dunaharaszti külső', 'Ráckeve']",0.3505478140623338
252,"['Kaposvár', 'Karád']",0.3409090909090909
374,"['Tapolca', 'Ukk']",0.3286445012787724
261,"['Kecskemét', 'Lakitelek']",0.3157894736842105
145,"['Cegléd', 'Szolnok']",0.31177514725355004
377,"['Vaja-Rohod', 'Vásárosnamény']",0.3106796116504854
197,"['Dunaharaszti külső', 'Tököl']",0.296078431372549
124,"['Budapest-Nyugati', 'Táborfalva']",0.28489448352462055
18,"['Balassagyarmat', 'Drégelypalánk']",0.28225806451612906
171,"['Debrecen', 'Kisújszállás']",0.27848101265822783
301,"['Mezőhegyes', 'Újszeged']",0.27666811562703764
36,"['Battonya', 'Mezőhegyes']",0.2746915949339328
340,"['Pincehely', 'Pusztaszabolcs']",0.27445652173913043
276,"['Komló', 'Sásd']",0.274316813339509
205,"['Esztergom', 'Süttő']",0.255625730769968
207,"['Fehérgyarmat', 'Zajta']",0.24808014120991223
298,"['Medgyesegyháza', 'Mezőhegyes']",0.24324324324324326
321,"['Nagydorog', 'Szekszárd']",0.24324324324324326
98,"['Budapest-Keleti', 'Salzburg Hbf']",0.22764227642276422
330,"['Nyíregyháza', 'Püspökladány']",0.22726913345983557
72,"['Budapest-Kelenföld', 'Százhalombatta']",0.22340425531914893
332,"['Nyíregyháza', 'Szolnok']",0.2103358425014476
226,"['Győr', 'Mosonmagyaróvár']",0.20754716981132076
234,"['Gödöllő', 'Hatvan']",0.20625
281,"['Kötegyán', 'Vésztő']",0.1796116504854369
177,"['Debrecen', 'Püspökladány']",0.16350941762286209
155,"['Cinkota', 'Csömör']",0.16253312135665077
358,"['Szeged vasútállomás', 'Szeged, Rókus vasútállomás']",0.14942618268681518
225,"['Győr', 'Komárom']",0.14705882352941177
8,"['Baja', 'Bátaszék']",0.14285714285714285
161,"['Csenger', 'Mátészalka']",0.13051159366948842
198,"['Dunaújváros', 'Pusztaszabolcs']",0.1165644171779141
132,"['Bátaszék', 'Tolna-Mözs']",0.11650815217391304
263,"['Kecskemét', 'Tiszakécske']",0.10810810810810811
129,"['Bátaszék', 'Szekszárd']",0.034482758620689655
359,"['Szekszárd', 'Sárbogárd']",0.022727272727272728
183,"['Decs', 'Nagydorog']",0.0
327,"['Nagyszénás', 'Orosháza']",0.0
