,delay_cause,weight_mean,occurrences
0,Baleset miatti késés,27.80812264500116,521
3,Felsővezetéki hiba miatti késés,23.714007603195693,204
19,Vonatpótló busz miatti késés,19.509552417318034,18
16,Utasforgalmi ok miatti késés,16.125,2
20,Váltó meghibásodás miatti késés,15.069782321399076,133
14,Rongálás miatti késés,15.052757797080723,93
11,Műszaki ok miatti késés vonatnál,14.889772727272728,5
17,Vasútüzemen kívülálló ok miatti késés,13.97065471419359,215
4,Forgalmi ok miatti késés,13.265497954214906,84
15,Társvasúttól átvett késés,12.469855314969323,2571
6,Időjárási ok miatti késés,12.401693454048779,122
2,Csatlakozásra várás miatti késés,12.294008276689945,1801
5,Hatósági intézkedés miatti késés,11.913819554172246,157
1,Biztosítóberendezési hiba miatti késés,11.727424210899686,1659
8,Más vonat által okozott késés,10.969929716425762,1341
13,Pályaépítés miatti késés,10.864145352035063,158
9,Más vonattól átvett késés,10.814554531490016,4
18,Vonat műszaki hibája miatti késés,10.716670360459215,6154
12,Pálya állapota miatti késés,9.056492859630255,10468
