,delay_cause,occurrence_count
12,Pálya állapota miatti késés,10468
18,Vonat műszaki hibája miatti késés,6154
15,Társvasúttól átvett késés,2571
2,Csatlakozásra várás miatti késés,1801
1,Biztosítóberendezési hiba miatti késés,1659
8,Más vonat által okozott késés,1341
0,Baleset miatti késés,521
17,Vasútüzemen kívülálló ok miatti késés,215
3,Felsővezetéki hiba miatti késés,204
13,Pályaépítés miatti késés,158
5,Hatósági intézkedés miatti késés,157
20,Váltó meghibásodás miatti késés,133
6,Időjárási ok miatti késés,122
14,Rongálás miatti késés,93
4,Forgalmi ok miatti késés,84
19,Vonatpótló busz miatti késés,18
11,Műszaki ok miatti késés vonatnál,5
9,Más vonattól átvett késés,4
16,Utasforgalmi ok miatti késés,2
10,Műszaki ok miatti késés,1
7,Mentőre várás miatti késés,1
21,Váltómeghibásodása miatti késés,1
